Age,Gender,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate,Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Final_Grade
28,0,10,1,17,1,89,53,57,1,2,2,10,3
18,1,47,0,8,0,90,87,53,0,2,21,7,0
18,0,48,3,19,1,90,71,55,0,0,0,5,1
28,1,8,2,15,1,72,92,78,0,0,13,7,0
20,0,42,2,6,1,87,76,67,1,0,11,8,1
24,0,23,1,5,1,96,86,73,1,1,22,8,0
24,1,45,3,3,0,89,43,68,1,2,4,5,3
22,1,31,3,12,1,86,72,99,1,0,24,6,1
27,0,30,0,5,1,79,47,97,1,0,22,9,3
21,0,16,0,14,1,86,67,64,1,2,15,9,2
21,1,8,1,1,1,80,73,59,1,0,3,4,1
18,0,34,1,3,0,71,48,93,0,2,23,10,3
27,1,37,2,15,0,54,79,100,0,1,27,5,1
27,0,20,0,12,1,99,60,63,1,2,30,8,2
21,1,41,0,14,1,60,70,100,0,0,11,6,1
24,1,42,1,0,0,86,98,99,1,2,24,9,0
24,1,43,3,10,1,64,58,66,1,2,28,4,2
22,1,39,2,20,0,91,70,92,1,1,14,5,1
29,0,26,3,14,1,84,40,76,1,2,11,7,3
23,1,17,3,13,1,55,95,96,1,0,24,4,0
20,0,19,3,17,0,70,55,53,1,2,4,9,2
29,1,27,0,19,1,88,43,78,1,2,4,9,3
28,0,17,2,12,0,88,72,65,0,0,30,6,1
24,1,34,2,2,0,68,63,99,1,0,24,9,2
20,0,17,2,17,0,63,87,54,1,2,21,7,0
25,0,31,1,5,0,64,48,56,0,2,14,4,3
19,0,9,0,15,1,75,42,93,0,2,28,6,3
28,0,26,3,1,1,84,81,94,1,2,27,8,1
26,1,47,3,0,0,94,70,77,1,2,18,4,1
24,0,40,1,11,1,59,97,83,0,1,27,4,0
23,0,48,0,19,1,85,46,80,0,2,4,4,3
23,1,33,1,12,0,59,77,80,1,1,21,6,1
21,0,38,3,10,1,77,82,79,0,0,7,6,1
26,0,39,0,13,1,54,89,74,1,2,13,8,0
29,0,10,3,14,0,89,59,59,0,0,1,8,2
26,0,49,3,7,0,52,52,62,1,2,3,10,3
24,1,15,1,15,1,67,90,82,0,2,8,10,0
24,1,29,1,6,1,66,76,61,0,2,11,9,1
28,1,42,2,10,0,64,98,95,1,2,27,9,0
21,0,26,3,8,1,88,94,90,1,2,15,9,0
23,0,23,3,16,1,94,66,83,0,2,2,6,2
27,0,15,0,0,0,76,49,70,1,2,23,9,3
21,0,44,3,7,0,99,85,68,0,2,22,9,0
20,0,5,3,19,0,67,70,67,1,2,19,5,1
24,1,21,1,19,1,93,62,86,1,1,0,4,2
29,0,22,2,2,1,86,47,79,1,2,21,5,3
25,0,44,1,12,1,62,46,74,1,0,8,10,3
28,1,30,1,14,1,61,46,56,1,2,14,5,3
25,0,48,0,11,1,81,95,63,1,1,6,8,0
27,0,22,3,4,1,75,54,81,1,2,8,5,3
29,1,11,1,0,1,74,80,71,0,2,30,6,1
29,0,33,0,16,1,63,64,94,1,2,10,4,2
27,1,30,2,2,0,62,49,52,0,2,11,10,3
26,1,15,2,6,0,94,40,70,1,2,2,8,3
27,0,7,2,18,1,83,59,72,1,2,19,6,2
21,0,15,3,2,1,59,98,54,1,1,16,4,0
22,0,19,2,2,0,98,86,52,1,0,24,5,0
27,0,24,3,18,1,76,88,62,1,2,26,6,0
26,0,37,0,16,1,90,99,83,1,1,16,6,0
26,1,39,0,9,1,67,92,91,1,0,6,7,0
24,0,45,0,13,0,63,41,78,1,2,11,4,3
26,0,44,3,14,0,77,80,78,1,0,16,7,1
24,0,36,3,2,1,72,78,94,1,1,7,7,1
28,1,16,2,0,0,75,58,78,0,1,4,4,2
27,0,31,2,9,1,98,59,64,0,1,28,6,2
23,0,29,3,7,1,99,68,60,1,0,12,10,2
27,0,12,0,17,1,50,69,92,1,2,12,9,2
23,1,18,1,3,1,96,40,70,1,0,15,9,3
26,1,42,1,19,1,66,92,75,0,2,28,10,0
20,0,48,0,9,0,80,51,94,1,2,9,8,3
26,0,38,3,19,0,94,82,50,1,1,29,6,1
27,1,10,1,13,0,97,51,62,1,1,25,10,3
19,0,48,1,15,0,75,67,89,1,2,23,8,2
20,1,38,0,19,1,69,65,83,0,2,4,7,2
26,0,14,2,17,1,74,65,98,1,2,8,6,2
20,0,6,3,11,1,57,66,98,1,0,3,6,2
18,1,29,0,19,0,99,68,70,0,2,29,7,2
19,0,15,2,5,0,92,100,92,1,2,7,4,0
26,0,43,1,17,1,94,44,99,0,2,19,6,3
24,1,26,2,19,0,90,87,55,1,1,14,10,0
20,1,26,0,6,1,93,53,84,0,0,3,6,3
27,0,28,0,1,1,77,79,56,0,2,9,5,1
26,0,31,3,2,1,90,84,68,0,1,16,7,1
26,0,39,3,15,0,56,65,97,1,2,30,4,2
24,1,6,0,15,1,90,71,61,1,1,23,5,1
22,1,38,1,14,1,56,97,51,1,2,13,6,0
19,0,11,3,7,1,87,98,55,0,2,1,8,0
18,0,30,3,14,1,58,82,91,1,0,30,8,1
29,0,30,3,7,1,71,45,86,1,2,26,9,3
28,1,5,0,16,0,62,100,65,1,0,11,6,0
24,1,31,3,16,1,91,56,91,0,2,1,7,2
28,0,9,3,1,1,50,57,92,1,0,24,8,2
22,1,13,1,8,0,56,96,71,1,2,6,5,0
20,0,34,2,9,0,64,72,77,1,2,7,7,1
25,1,44,1,14,1,80,44,57,0,0,1,9,3
27,0,43,3,2,1,56,58,86,0,0,3,4,2
25,0,9,3,19,1,99,68,76,1,2,2,9,2
25,1,21,1,14,1,81,90,73,1,0,30,4,0
27,0,46,2,0,1,96,95,63,1,2,6,5,0
24,1,35,2,9,1,93,52,86,1,2,28,10,3
26,0,25,1,6,0,84,56,66,0,2,11,4,2
27,0,13,2,20,0,76,41,73,1,0,22,5,3
23,1,28,1,2,1,86,65,55,0,2,2,9,2
19,0,47,0,4,0,71,85,67,0,1,15,9,0
18,1,34,3,5,1,75,98,86,0,2,2,9,0
25,0,46,3,15,1,74,59,73,1,2,12,7,2
28,1,16,0,11,0,63,43,98,1,2,1,4,3
28,0,46,3,5,1,63,83,75,0,1,19,9,1
20,1,5,3,0,1,51,45,97,1,2,27,4,3
21,1,45,1,20,0,69,60,59,1,1,1,4,2
25,0,47,2,3,1,92,88,89,1,2,22,7,0
20,1,47,2,19,1,80,61,94,1,2,23,5,2
22,1,21,1,20,1,90,51,99,1,1,20,4,3
26,0,19,2,3,0,61,64,57,1,2,5,6,2
22,0,48,3,17,1,52,64,87,1,0,3,5,2
19,1,10,1,20,1,87,68,76,0,2,24,6,2
21,1,45,1,18,1,71,83,74,1,1,26,5,1
21,0,40,3,13,0,82,80,88,1,0,24,7,1
29,0,20,3,10,1,87,77,93,1,1,28,4,1
20,1,17,1,11,0,85,99,59,1,1,4,5,0
26,0,26,2,1,1,80,92,54,1,0,12,7,0
20,0,37,2,8,1,57,74,51,1,2,16,10,1
29,0,38,2,8,0,65,67,71,1,0,22,4,2
18,1,37,3,17,1,82,58,78,1,2,29,5,2
28,1,18,2,11,1,68,88,76,1,2,13,10,0
20,1,24,3,14,0,80,74,61,1,0,4,6,1
18,1,18,1,8,1,90,68,99,1,0,14,10,2
18,0,33,2,17,0,51,83,60,0,1,18,9,1
29,0,27,3,8,0,100,90,87,0,2,15,9,0
24,0,41,1,12,1,79,54,62,0,2,4,7,3
25,0,24,0,20,0,64,43,81,1,2,23,10,3
23,1,22,0,9,0,60,47,86,1,2,17,8,3
18,1,10,3,9,1,80,41,58,0,2,1,10,3
26,0,25,1,5,0,75,69,55,1,2,28,6,2
28,0,12,2,20,1,75,88,60,0,2,5,7,0
21,0,40,3,2,1,98,81,55,1,0,5,10,1
18,1,40,0,1,0,90,84,79,1,1,26,6,1
21,0,41,1,13,0,100,55,98,1,0,10,7,2
24,1,26,0,15,1,53,56,82,1,1,18,4,2
18,0,38,0,7,0,98,56,72,0,0,27,9,2
26,0,27,1,12,0,90,44,82,0,1,7,6,3
22,0,31,3,12,1,64,52,81,0,2,21,9,3
24,1,8,3,12,0,60,100,84,0,1,3,6,0
23,0,35,1,16,0,69,63,60,0,0,7,4,2
23,0,22,1,1,1,97,63,58,1,2,22,10,2
27,1,20,2,6,1,96,88,74,1,2,14,6,0
23,0,43,3,15,1,91,53,90,1,0,2,10,3
22,1,14,3,0,0,68,92,68,0,0,11,4,0
28,1,6,0,0,1,54,92,91,1,2,0,6,0
24,0,19,2,3,1,78,63,69,1,2,23,6,2
24,0,13,2,10,0,76,93,84,1,2,17,5,0
21,1,14,3,14,0,97,70,77,1,2,19,9,1
20,1,32,0,17,1,57,64,52,1,0,10,9,2
19,1,14,1,2,0,89,63,71,0,0,15,5,2
28,1,23,3,10,0,86,95,90,0,2,0,9,0
20,0,8,1,6,0,54,71,56,1,2,12,10,1
24,1,28,3,16,1,94,78,81,0,0,19,4,1
27,0,30,3,17,0,85,81,81,0,2,19,6,1
18,1,6,0,11,1,81,67,87,1,0,9,9,2
20,0,40,2,8,0,56,53,65,1,0,12,5,3
18,1,12,0,16,1,53,41,60,1,2,6,6,3
20,0,43,0,0,1,71,100,82,1,1,8,9,0
25,1,49,3,7,0,95,60,85,1,2,16,10,2
24,0,28,3,15,1,68,88,86,1,2,22,9,0
19,1,24,3,11,1,58,83,81,1,0,0,4,1
19,1,48,3,0,0,97,76,88,1,2,1,8,1
24,0,16,3,9,1,80,53,63,1,1,12,9,3
18,0,5,3,8,1,75,66,88,1,1,11,4,2
21,0,41,3,0,1,82,43,84,1,2,6,7,3
25,1,8,3,8,1,70,73,61,0,2,11,9,1
20,1,17,0,7,0,95,66,88,0,1,25,10,2
19,0,22,3,5,1,97,88,80,1,0,14,4,0
24,0,45,2,1,1,81,70,70,1,2,21,4,1
24,0,33,1,4,0,55,66,91,1,2,20,8,2
29,0,33,3,1,1,78,49,91,0,0,5,9,3
25,0,35,2,19,0,75,82,90,0,1,13,9,1
27,1,6,2,19,1,99,67,90,1,0,29,5,2
27,1,35,2,20,1,79,45,94,1,1,30,8,3
28,1,12,2,10,1,81,45,58,1,1,28,9,3
21,0,25,0,0,0,59,67,91,1,1,6,9,2
25,1,25,2,10,1,92,43,95,1,1,17,6,3
27,1,23,0,9,0,59,46,77,1,2,16,10,3
26,0,13,1,11,1,61,54,78,1,2,9,10,3
29,0,34,0,14,1,85,46,50,0,2,27,5,3
20,0,32,2,2,1,96,66,92,0,0,17,9,2
19,0,27,0,2,0,59,81,57,0,2,7,4,1
20,0,36,3,13,1,93,63,71,1,1,27,9,2
22,0,27,3,6,0,53,98,81,1,1,23,4,0
20,1,25,1,19,1,78,54,66,0,2,26,5,3
27,0,45,2,17,1,56,42,50,0,0,7,5,3
24,0,27,3,16,0,71,89,72,1,2,8,9,0
26,1,45,0,14,1,50,84,83,0,2,20,7,1
22,0,37,0,20,1,72,77,93,1,1,25,5,1
27,1,34,0,10,0,58,56,65,1,0,16,7,2
19,1,5,2,19,1,55,83,65,1,1,2,4,1
27,1,11,3,16,1,74,82,88,0,2,18,7,1
23,0,18,1,12,0,63,65,79,1,1,23,4,2
24,1,18,3,8,1,90,69,70,0,2,15,10,2
22,1,46,2,2,1,58,89,96,1,2,3,7,0
22,0,25,2,20,1,98,68,76,0,1,28,5,2
24,1,46,3,5,0,80,76,56,1,2,23,7,1
18,0,48,2,15,1,93,45,59,0,2,19,8,3
24,0,13,1,3,0,65,58,65,1,0,20,9,2
21,0,17,0,14,1,60,49,50,0,2,2,6,3
19,1,17,0,12,0,92,97,86,1,1,6,9,0
18,0,32,2,20,1,58,41,64,1,2,19,7,3
24,1,9,2,20,0,57,72,54,0,1,29,10,1
21,1,8,3,17,0,64,77,75,1,2,15,8,1
29,0,13,3,2,1,86,47,68,1,2,3,4,3
19,1,11,2,4,0,58,92,70,1,2,7,6,0
29,1,6,1,10,1,82,47,70,0,2,19,8,3
26,0,15,3,19,1,62,82,79,1,0,21,9,1
25,0,22,0,1,1,61,88,56,1,2,30,6,0
22,1,12,2,6,1,93,86,74,1,2,21,8,0
19,1,36,2,9,1,97,94,58,1,1,17,9,0
19,1,30,0,8,0,84,61,84,1,2,30,9,2
20,0,29,0,9,1,65,77,97,1,1,19,5,1
22,0,37,1,0,1,80,63,54,0,0,29,4,2
24,0,46,3,9,1,72,85,97,1,1,29,7,0
25,1,23,2,17,0,89,61,72,0,2,7,10,2
29,1,6,1,0,1,99,75,57,0,2,9,5,1
18,1,34,2,0,0,78,95,87,1,2,2,10,0
19,0,20,1,0,1,89,95,85,0,2,28,8,0
28,1,46,1,0,0,69,73,68,1,2,22,6,1
23,1,25,0,10,0,72,45,100,0,2,26,8,3
25,1,43,3,0,0,82,86,89,0,0,30,7,0
28,0,29,1,8,1,50,40,53,1,1,26,6,3
26,0,25,2,19,0,100,77,90,1,1,14,8,1
22,0,27,0,8,1,92,55,67,0,0,10,9,2
20,0,19,0,12,1,62,65,96,1,1,21,10,2
25,1,7,0,12,0,50,96,56,1,2,21,10,0
18,0,49,2,17,0,51,82,63,1,2,7,6,1
23,0,12,1,8,1,88,50,92,1,2,4,8,3
28,0,30,2,6,1,72,96,72,1,2,22,6,0
22,1,7,3,5,1,80,83,89,1,2,29,5,1
29,0,45,1,2,0,100,100,88,1,1,29,6,0
27,1,44,1,12,0,87,100,90,0,1,2,8,0
23,1,14,0,12,0,68,91,77,0,0,11,4,0
24,1,18,2,15,1,76,83,78,0,2,29,5,1
26,1,40,2,19,0,69,80,58,1,2,19,8,1
28,0,36,0,3,0,60,68,97,1,1,22,10,2
19,1,32,0,6,0,86,82,73,1,1,11,4,1
23,1,34,3,16,0,99,94,80,0,1,8,5,0
18,1,18,3,8,1,98,99,84,0,0,2,8,0
22,0,9,3,20,0,64,73,57,1,2,10,10,1
23,0,12,0,5,1,86,79,69,1,2,3,5,1
26,1,37,3,4,0,74,84,56,0,2,24,4,1
27,1,37,3,2,1,63,95,95,1,2,8,9,0
21,0,49,0,15,0,64,73,61,0,2,27,7,1
21,0,11,0,19,1,75,62,97,1,0,27,5,2
28,0,19,2,19,1,71,65,95,1,2,10,5,2
22,0,14,1,7,0,81,40,73,1,2,5,8,3
26,1,40,1,6,1,82,93,89,1,1,10,6,0
28,1,25,1,8,1,62,57,91,1,2,23,10,2
27,0,19,1,3,1,73,67,100,1,0,23,9,2
21,0,46,2,20,1,99,69,94,1,2,13,7,2
27,1,10,1,7,1,82,88,75,1,2,4,10,0
28,0,10,0,9,0,97,64,70,1,1,21,10,2
24,1,37,3,16,1,87,54,93,0,2,9,9,3
28,1,16,2,15,1,58,46,65,1,1,13,4,3
22,0,6,0,12,1,89,77,52,1,2,14,8,1
21,1,34,0,17,0,90,45,91,1,1,25,10,3
27,0,9,1,15,1,72,63,97,0,1,19,8,2
20,0,26,1,19,1,90,66,97,0,0,18,6,2
22,1,29,0,17,1,94,50,85,1,2,3,4,3
18,0,9,3,16,0,71,85,95,1,1,22,5,0
18,0,16,0,9,1,54,88,75,1,2,13,6,0
20,0,17,3,5,1,73,72,55,0,0,6,8,1
28,0,20,2,2,1,97,55,60,1,2,1,6,2
24,1,36,1,15,0,87,59,100,1,1,19,5,2
20,1,44,3,16,1,95,50,59,0,2,15,7,3
22,1,7,2,1,0,50,50,53,1,2,11,6,3
18,0,13,0,10,0,81,94,64,0,1,5,5,0
19,1,42,3,19,1,93,84,97,1,1,10,9,1
23,1,12,0,4,1,87,58,57,1,2,4,6,2
25,0,14,2,14,0,79,65,52,1,0,6,7,2
29,0,15,3,18,1,80,81,69,1,1,23,8,1
21,0,48,2,17,0,75,47,56,0,2,8,4,3
18,0,11,0,7,0,96,67,71,1,2,29,5,2
24,0,8,0,16,1,96,52,60,0,2,7,6,3
19,1,45,1,20,0,56,97,71,1,0,29,10,0
26,1,44,0,14,0,67,78,97,1,1,28,4,1
24,0,13,2,14,1,52,52,56,1,2,21,6,3
25,0,47,2,14,1,80,91,62,1,2,12,8,0
28,1,48,2,12,1,94,51,91,0,2,3,10,3
20,1,38,1,17,1,90,81,63,0,0,1,7,1
20,0,19,1,1,1,52,73,80,1,2,28,6,1
23,0,30,2,6,1,68,99,97,1,1,25,4,0
27,1,35,3,20,1,95,59,65,0,1,30,6,2
28,0,49,2,1,1,92,97,62,1,1,23,7,0
25,0,20,2,14,0,68,81,71,1,0,27,4,1
28,0,11,2,10,1,69,56,79,1,2,20,4,2
20,1,16,0,0,1,96,57,99,1,2,30,4,2
25,0,11,1,19,1,52,83,97,1,1,18,4,1
26,1,31,0,17,1,96,65,91,1,2,13,10,2
20,0,36,2,2,0,71,57,96,1,2,30,7,2
21,0,49,3,19,1,60,97,64,1,1,3,9,0
23,0,28,0,5,0,80,96,89,1,2,10,9,0
27,1,19,2,9,0,65,67,74,1,2,27,8,2
26,1,7,3,13,1,61,52,74,1,1,19,10,3
18,1,7,0,7,0,64,79,66,0,2,2,8,1
19,1,33,3,0,1,91,65,95,1,1,11,8,2
20,0,47,3,10,1,55,90,63,1,2,20,4,0
25,1,14,0,19,1,60,41,65,0,2,28,5,3
25,1,42,3,9,1,96,53,91,1,2,13,6,3
20,1,39,2,2,1,74,66,89,0,1,4,4,2
27,0,33,1,6,1,79,51,73,0,2,29,6,3
22,1,6,0,11,0,72,92,77,1,1,30,10,0
24,1,48,1,15,0,66,72,78,0,0,22,9,1
21,0,49,1,15,0,64,91,51,0,2,13,10,0
22,0,6,2,0,1,79,60,59,1,1,19,8,2
26,1,31,2,3,0,60,56,84,1,1,17,5,2
21,1,30,2,10,0,51,78,100,0,1,16,4,1
26,1,30,2,13,0,69,54,51,1,2,24,10,3
25,0,8,0,19,0,85,93,91,1,2,10,6,0
28,1,17,2,9,0,54,75,91,1,2,10,8,1
23,0,10,2,8,0,96,98,90,1,0,10,7,0
25,1,21,0,8,1,78,46,82,1,2,11,9,3
19,1,7,3,7,0,58,41,98,1,1,27,9,3
27,1,37,0,5,1,59,74,60,1,1,1,10,1
23,1,38,1,6,0,58,89,91,1,0,22,6,0
27,1,15,2,2,1,50,71,63,1,1,3,10,1
20,0,33,0,4,0,76,58,83,0,2,21,9,2
25,1,6,3,19,0,77,42,68,0,2,23,9,3
28,0,35,3,3,1,95,58,79,1,1,1,10,2
18,1,39,1,15,0,83,63,65,1,2,11,7,2
21,1,31,0,15,1,50,92,78,0,2,24,6,0
28,0,10,3,20,1,56,66,77,0,1,17,8,2
26,0,44,2,17,1,92,80,79,1,1,26,10,1
20,0,40,1,3,1,83,58,67,1,2,14,9,2
19,1,16,1,17,1,92,91,65,0,1,8,4,0
19,0,42,2,10,0,67,85,61,0,1,22,5,0
22,0,30,3,2,0,90,71,83,1,2,11,8,1
24,1,49,2,13,1,83,57,72,1,2,11,7,2
26,1,35,2,17,1,81,95,71,0,1,12,6,0
18,1,41,1,18,1,50,56,89,1,1,0,10,2
18,1,43,3,18,0,76,82,54,1,1,2,6,1
27,1,24,3,9,1,89,55,78,1,2,29,5,2
18,1,16,2,18,1,54,82,55,1,1,30,5,1
29,0,5,0,11,1,67,46,86,1,2,4,8,3
24,1,39,3,10,0,74,70,97,0,2,9,6,1
28,1,35,0,20,1,86,85,88,1,2,12,7,0
27,1,23,2,8,1,67,81,85,0,2,27,10,1
26,0,12,3,17,1,51,73,63,1,2,1,9,1
23,0,25,0,14,0,66,57,72,1,0,25,5,2
24,1,49,2,1,0,90,47,83,1,2,11,4,3
27,0,38,1,11,1,65,99,90,1,2,21,6,0
26,1,49,1,5,0,77,44,55,1,2,3,4,3
23,1,20,0,7,0,85,80,97,1,0,24,6,1
26,1,39,0,2,1,72,41,68,1,2,25,4,3
26,1,30,3,2,1,99,44,64,0,1,3,6,3
28,0,33,1,6,1,85,67,88,1,2,14,10,2
20,0,7,3,9,1,65,54,67,0,1,5,8,3
29,0,47,2,8,1,58,91,84,1,2,7,5,0
23,1,37,0,14,1,78,41,82,1,0,29,8,3
27,1,35,3,19,1,53,49,93,0,0,30,4,3
28,0,11,1,6,1,55,92,76,1,1,26,6,0
23,0,30,2,11,1,79,100,92,1,0,7,8,0
19,1,31,0,13,1,87,97,73,0,2,27,8,0
20,0,14,1,5,1,64,65,88,1,1,10,4,2
21,0,5,1,3,1,81,98,72,1,0,12,6,0
23,0,20,0,20,0,57,99,88,1,2,23,9,0
19,0,35,3,5,1,62,45,98,1,2,1,9,3
22,0,39,2,4,0,64,90,74,1,0,19,8,0
22,1,35,1,17,1,52,52,93,0,2,16,5,3
19,1,44,3,10,0,60,68,69,0,2,6,6,2
24,0,17,1,14,1,84,59,78,0,0,13,8,2
27,0,6,2,16,1,73,73,63,0,2,23,10,1
19,1,43,1,4,0,67,67,95,1,2,20,6,2
19,1,26,0,19,1,55,95,53,1,1,9,7,0
20,1,49,2,17,1,57,57,94,1,1,10,7,2
29,1,21,3,3,0,56,83,76,1,0,5,4,1
28,0,14,3,6,0,92,78,58,1,1,26,10,1
25,0,8,1,20,1,97,62,50,1,1,3,8,2
24,0,9,2,5,1,60,81,65,1,1,8,8,1
21,1,49,2,9,1,54,45,75,0,2,29,9,3
29,0,45,1,0,1,54,67,86,0,2,23,8,2
20,1,38,0,19,0,79,85,71,0,1,27,10,0
28,1,26,3,12,1,77,48,76,1,2,4,7,3
25,1,48,3,18,1,66,54,74,1,2,14,10,3
24,1,23,2,15,0,57,75,73,1,2,10,7,1
19,0,42,1,15,0,97,78,91,0,2,2,4,1
18,0,37,2,2,0,66,44,99,1,2,14,8,3
20,0,6,2,3,1,85,75,51,1,2,13,5,1
25,0,12,1,20,1,97,86,80,1,1,26,7,0
23,1,9,1,20,1,58,92,50,1,2,6,9,0
29,1,14,0,13,1,54,81,61,1,2,26,5,1
24,0,28,0,19,1,90,89,68,1,2,13,10,0
25,1,35,1,18,0,80,55,87,0,2,1,9,2
25,1,20,3,5,1,90,81,79,1,1,7,7,1
26,1,16,2,19,1,71,99,97,1,2,15,7,0
25,1,10,1,2,0,76,87,53,1,1,17,6,0
28,0,37,1,10,1,77,97,92,0,2,9,4,0
22,1,34,2,4,1,96,94,79,1,2,0,4,0
22,0,34,0,6,0,90,100,97,1,0,27,4,0
18,1,24,2,5,1,67,64,72,1,0,0,9,2
18,0,26,2,5,0,82,89,79,1,2,21,6,0
23,0,21,3,19,0,72,42,100,0,0,9,7,3
25,0,33,0,8,1,63,77,91,1,1,10,7,1
22,1,49,1,2,1,80,52,56,1,2,10,4,3
19,0,10,3,8,1,58,65,88,1,2,2,4,2
21,0,22,3,11,1,81,99,51,0,2,13,9,0
20,1,38,1,17,1,69,71,87,1,1,10,5,1
24,1,39,0,7,0,88,85,52,1,2,13,8,0
20,0,26,1,5,1,76,96,64,1,2,12,7,0
25,0,15,2,17,0,87,64,98,1,1,14,10,2
26,0,8,0,16,0,67,47,61,1,2,15,10,3
27,0,27,0,6,1,55,70,91,1,0,28,9,1
26,1,44,1,14,0,94,100,86,1,1,6,8,0
19,0,25,2,0,1,61,74,99,1,1,3,9,1
18,0,16,3,15,1,98,93,84,1,2,5,9,0
29,1,16,1,16,1,67,66,92,1,2,9,10,2
21,0,28,0,9,1,59,92,76,1,2,24,7,0
21,1,35,3,17,0,75,75,69,1,1,8,9,1
20,0,31,1,11,0,90,46,96,1,0,21,8,3
25,0,13,3,11,1,77,92,96,1,1,2,6,0
28,1,29,0,10,0,99,71,54,0,1,28,10,1
18,1,5,1,6,0,70,75,80,0,1,12,9,1
24,0,35,2,5,1,96,69,64,1,2,18,4,2
27,0,25,3,17,1,87,69,56,1,2,21,10,2
27,1,49,2,19,1,81,90,86,1,2,14,7,0
23,1,8,1,5,1,67,64,66,1,0,10,10,2
25,1,49,2,9,1,62,48,85,1,2,24,10,3
27,0,48,1,4,1,56,74,83,1,2,5,6,1
27,1,31,1,2,1,62,91,74,0,2,15,10,0
22,0,15,0,2,0,55,97,100,0,0,3,8,0
22,1,29,1,1,0,84,69,54,1,1,25,8,2
20,0,22,0,3,1,64,62,80,0,1,20,9,2
18,1,11,0,19,0,88,73,99,0,1,6,4,1
19,1,21,1,20,1,100,75,97,1,2,13,10,1
28,0,10,1,6,0,90,70,70,1,1,19,5,1
20,0,41,2,17,1,92,42,77,1,2,0,7,3
26,1,5,0,1,1,53,52,82,0,1,15,7,3
18,1,25,2,17,0,91,58,78,1,2,15,10,2
18,0,42,2,13,1,54,73,83,1,1,23,10,1
24,1,13,2,2,0,59,42,100,1,1,24,9,3
19,1,33,1,1,1,56,86,65,1,2,11,8,0
19,1,37,0,2,0,72,73,66,1,0,29,7,1
25,1,44,0,14,1,51,74,74,1,2,9,9,1
18,1,41,3,3,1,79,57,87,1,2,15,6,2
26,1,17,1,0,0,54,95,86,1,1,27,10,0
23,1,14,0,4,0,88,65,85,1,2,25,7,2
19,1,20,3,7,1,78,84,78,1,2,8,10,1
22,0,27,2,9,1,69,62,70,0,1,8,8,2
27,1,41,3,13,1,76,62,98,1,2,30,6,2
24,1,13,3,19,0,59,63,84,0,0,5,5,2
26,0,39,2,20,0,58,90,63,1,2,29,5,0
24,1,7,3,18,0,97,67,85,0,1,17,4,2
25,1,25,3,7,0,61,94,82,1,1,21,10,0
25,1,37,3,8,1,95,65,70,1,1,21,9,2
21,0,33,2,7,1,84,50,59,0,2,21,9,3
23,1,13,3,13,1,78,93,81,1,2,7,6,0
22,0,24,3,8,1,92,69,79,1,2,8,5,2
28,1,10,3,17,0,60,54,66,1,0,13,7,3
20,1,49,2,13,0,63,75,54,1,0,5,7,1
24,0,48,0,9,1,86,99,66,1,2,6,4,0
29,1,7,2,3,0,64,75,67,0,1,11,6,1
22,1,15,1,12,0,85,70,60,1,1,28,7,1
26,1,37,0,15,0,58,63,54,0,1,3,8,2
27,1,8,1,19,0,80,85,84,1,1,21,8,0
27,1,39,2,1,1,88,72,95,1,2,24,5,1
24,0,6,2,13,0,80,60,54,1,1,8,8,2
22,0,31,0,17,1,88,54,79,1,2,21,4,3
29,1,44,0,6,1,83,48,56,1,1,1,8,3
22,0,5,1,8,1,54,81,52,1,2,13,4,1
20,1,45,0,20,1,77,46,83,1,1,9,4,3
27,1,10,1,11,1,75,77,96,1,1,16,6,1
27,0,7,3,6,0,62,47,75,0,2,13,8,3
27,1,16,3,8,1,75,51,62,1,0,27,8,3
19,0,20,3,14,1,64,63,81,1,2,11,6,2
20,0,10,3,2,1,78,99,74,0,1,12,4,0
27,0,26,3,14,1,62,69,56,0,0,30,7,2
22,0,19,1,4,1,55,67,63,0,0,12,5,2
27,0,18,1,5,1,85,72,58,1,2,4,5,1
24,1,25,1,8,1,95,82,89,1,2,1,9,1
26,0,42,0,17,1,88,75,54,0,2,0,8,1
23,0,28,3,18,0,59,43,90,1,1,12,8,3
28,1,38,3,12,0,82,95,60,1,2,22,8,0
18,1,31,0,18,1,59,79,85,1,2,10,4,1
28,1,49,1,13,0,50,81,87,0,2,14,8,1
25,1,39,3,20,1,65,67,99,1,2,14,9,2
27,1,26,2,16,1,64,87,51,0,1,9,4,0
18,1,41,1,7,0,61,75,97,1,1,3,7,1
18,0,33,2,1,1,92,76,72,1,1,4,7,1
20,1,13,3,14,0,85,90,62,1,1,15,5,0
19,1,42,2,0,0,56,53,88,1,2,13,5,3
21,1,36,1,1,0,72,50,65,0,1,30,6,3
27,0,13,3,8,1,68,96,82,0,2,23,8,0
24,0,36,3,15,1,99,51,91,1,2,25,4,3
20,0,24,3,14,1,74,72,72,1,2,3,5,1
18,1,36,2,11,0,93,53,87,1,1,25,8,3
28,1,46,2,15,1,87,99,71,0,0,3,9,0
20,1,40,3,17,0,100,79,98,1,1,25,8,1
29,1,18,3,4,0,66,62,52,1,0,26,9,2
